Digital Loyang II (SIN12) | builder | missing | Builder/EPC not specified in entry or public sources. | https://www.digitalrealty.com/data-centers/asia-pacific/singapore/sin12; https://www.datacenterdynamics.com/en/news/digital-realty-announces-50mw-data-center-singapore/
Digital Loyang II (SIN12) | vendors | missing | Key vendors (e.g., GPU, cooling, power) not specified in entry or public sources. | https://www.digitalrealty.com/data-centers/asia-pacific/singapore/sin12
Meta Singapore Data Center | it_load_mw | missing | IT load not specified in entry or public sources. | https://engineering.fb.com/2019/01/14/data-center-engineering/singapore-data-center/
Meta Singapore Data Center | completion_date | missing | Completion date not specified in entry or public sources. | https://engineering.fb.com/2019/01/14/data-center-engineering/singapore-data-center/
Meta Singapore Data Center | vendors | missing | Key vendors (e.g., GPU, cooling, power) not specified in entry or public sources. | https://engineering.fb.com/2019/01/14/data-center-engineering/singapore-data-center/
AirTrunk SGP2 | builder | missing | Builder/EPC not specified in entry or public sources. | https://airtrunk.com/location/singapore/
AirTrunk SGP2 | vendors | missing | Key vendors (e.g., GPU, cooling, power) not specified in entry or public sources. | https://airtrunk.com/location/singapore/
AirTrunk SGP2 | racks | missing | Number of racks not specified in entry or public sources. | https://airtrunk.com/location/singapore/
AirTrunk SGP2 | sqft | missing | Building square footage not specified in entry or public sources. | https://airtrunk.com/location/singapore/
Digital Realty-Brookfield-Reliance MAA10 Chennai Campus | builder | missing | Builder/EPC not specified in entry or public sources. No explicit mention of construction contractor or EPC partner for MAA10 in available press releases or official sites. | https://www.mingtiandi.com/real-estate/data-centres/digital-realty-brookfield-reliance-unveil-inaugural-india-data-centre-project/, https://www.datacenterdynamics.com/en/news/digital-realty-and-brookfield-break-ground-on-data-center-in-chennai-india/, https://www.prnewswire.com/in/news-releases/digital-realty-launches-maa10-data-center-in-chennai-sets-new-standards-for-indias-data-center-industry-302033510.html
Digital Realty-Brookfield-Reliance MAA10 Chennai Campus | vendors | partial | Facility is certified NVIDIA DGX-Ready and supports both air and liquid cooling, but specific vendors (GPU, cooling, power) not named in public sources. | https://digitalterminal.in/enterprise/digital-connexion-launches-nvidia-dgx-ready-ai-data-center-in-chennai, https://btw.media/all/it-infrastructure/indias-first-nvidia-dgx-ready-data-centre-opens-in-chennai/
Digital Realty-Brookfield-Reliance MAA10 Chennai Campus | racks | partial | Number of racks not specified in entry or public sources. Facility supports up to 150kW per rack and high-density AI, but total rack count not disclosed. | https://www.datacentermap.com/india/chennai/maa10-digital-connexion/, https://w.media/maa-10-digital-connexions-new-data-center-launched-in-chennai/
Digital Realty-Brookfield-Reliance MAA10 Chennai Campus | sqft | partial | Building square footage for MAA10 phase is 196,000 sqft (7 stories), but total campus square footage for all phases not specified. | https://www.datacenterdynamics.com/en/news/digital-connexion-to-launch-data-center-in-chennai-india/, https://www.datacenters.com/digital-realty-chennai-maa10
